Category_id,Category,Subcategory,Description
5050,Accounting,Information Systems,"Accounting Information Systems involves the study and application of information technology in accounting, including the design, implementation, and management of systems that collect, process, and report financial data."
5051,Engineering,Mechanical Engineering,"Mechanical Engineering involves the design, analysis, and manufacturing of mechanical systems, focusing on principles of mechanics, thermodynamics, and materials science."
5052,Biology,Evolution,"Evolution in Biology studies the process by which species change over time through natural selection, genetic drift, mutation, and gene flow, leading to the diversity of life on Earth."
5053,Statistics,Biostatistics,"Biostatistics applies statistical methods to biological, medical, and health sciences research, including the design of experiments, analysis of clinical trials, and interpretation of epidemiological data."
5054,Programming,Go,"Go is a statically typed, compiled programming language developed by Google, known for its simplicity, concurrency support, and efficiency, making it ideal for building scalable and high-performance applications."
5055,Programming,Swift,"Swift is a modern, fast, and powerful programming language developed by Apple for building applications on iOS, macOS, watchOS, and tvOS, known for its safety features and performance optimizations."
5056,Programming,Kotlin,"Kotlin is a modern, statically typed programming language that is fully interoperable with Java and is widely used for Android app development, web development, and server-side applications."
5057,Philosophy,Aesthetics,"Aesthetics in Philosophy explores the nature of beauty, art, and taste, examining the principles of artistic judgment, the experience of beauty, and the cultural and emotional responses to art and design."
5058,Chemistry,Physical Chemistry,"Physical Chemistry studies the physical properties of molecules, the forces that act upon them, and the energy changes that occur during chemical reactions, combining principles of chemistry and physics."
5059,Environmental Science,Policy,"Environmental Policy in Environmental Science examines the development and implementation of policies aimed at managing natural resources, reducing pollution, and addressing environmental challenges like climate change."
5060,Computer Science,Networking,"Computer Networking involves the study of how computers communicate with each other over networks, including the design and implementation of network protocols, architectures, and security measures."
5061,Anthropology,General Anthropology,"General Anthropology covers the holistic study of humans, their ancestors, and related primates, encompassing the fields of cultural, biological, linguistic, and archaeological anthropology."
5062,Linguistics,Historical Linguistics,"Historical Linguistics studies the development and evolution of languages over time, including the analysis of language change, language families, and the reconstruction of ancient languages."
5063,Anthropology,Cultural Anthropology,"Cultural Anthropology studies human cultures, including beliefs, practices, values, and social structures, with a focus on understanding cultural diversity and the commonalities among different societies."
5064,Sociology,Social Movements,"Social Movements in Sociology refers to the study of organized collective actions aimed at promoting or resisting change in society, including the examination of movement dynamics, strategies, and impacts."
5065,Mathematics,Discrete Mathematics,"Discrete Mathematics focuses on mathematical structures that are fundamentally discrete rather than continuous, including topics such as graph theory, combinatorics, and logic."
5066,History,American History,"American History examines the history of the United States from its colonial origins to the present, covering key events, social changes, political developments, and cultural milestones."
5067,Programming,Scala,"Scala is a programming language that combines object-oriented and functional programming paradigms, designed for building scalable and high-performance applications, particularly in big data and distributed computing."
5068,Physics,Electromagnetism,"Electromagnetism is a branch of physics that studies the interactions between electric and magnetic fields, including the behavior of charged particles and the propagation of electromagnetic waves."
5069,Sociology,Urban Sociology,"Urban Sociology studies the social structures, processes, and problems associated with urban life, including issues related to urbanization, housing, social inequality, and the impact of urban environments on communities and individuals."
5070,Accounting,Managerial Accounting,"Managerial Accounting provides financial information to managers within organizations to assist in decision-making, budgeting, and performance evaluation."
5071,Biology,Genetics,"Genetics studies the inheritance of traits in living organisms, including the structure and function of genes, the principles of heredity, genetic variation, and the molecular mechanisms of genetic expression."
5072,Environmental Science,Sustainability,"Sustainability in Environmental Science focuses on practices and principles that aim to meet present needs without compromising the ability of future generations to meet theirs, including resource conservation and renewable energy."
5073,Philosophy,Mind,"Philosophy of Mind explores the nature of consciousness, mental states, and the relationship between the mind and the physical body, addressing questions about thought, perception, and identity."
5074,Economics,International Trade,"International Trade studies the exchange of goods, services, and capital between countries, including the theories of comparative advantage, trade policies, tariffs, and the impact of globalization on economies."
5075,Mathematics,Algebra,"Algebra is a branch of mathematics that deals with symbols and the rules for manipulating those symbols, including solving equations, understanding functions, and working with polynomials."
5076,Chemistry,Organic Chemistry,"Organic Chemistry studies the structure, properties, composition, reactions, and synthesis of carbon-containing compounds, including both natural and synthetic molecules such as pharmaceuticals, plastics, and fuels."
5077,Statistics,Probability,"Probability in Statistics involves the study of random events and the likelihood of different outcomes, including the development of probability distributions, stochastic processes, and their applications in decision-making."
5078,Mathematics,Complex Analysis,"Complex Analysis studies the properties and behavior of complex numbers and functions of a complex variable, including concepts such as analyticity, contour integration, and the theory of residues."
5079,Business,Management,"Management in Business refers to the process of planning, organizing, leading, and controlling resources, including people, finances, and operations, to achieve organizational goals."
5080,Business,Entrepreneurship,"Entrepreneurship in Business involves the process of starting and managing new businesses, including identifying opportunities, developing business plans, securing funding, and navigating the challenges of innovation and growth."
5081,Anthropology,Linguistic Anthropology,"Linguistic Anthropology examines the relationship between language and culture, including how language shapes communication, social identity, and cultural practices across different societies."
5082,Biology,Molecular Biology,"Molecular Biology studies the molecular mechanisms that govern the functioning of cells, including the structure and function of DNA, RNA, and proteins, and their roles in processes like replication, transcription, and translation."
5083,Education,Curriculum,"Curriculum in Education refers to the structured content and learning experiences provided in educational programs, including the development and organization of courses and instructional materials."
5084,Computer Science,Algorithms,"Algorithms in Computer Science refer to the step-by-step procedures used for solving problems and performing tasks, including sorting, searching, optimization, and data processing."
5085,Accounting,Auditing,"Auditing involves the systematic examination and evaluation of financial records and statements to ensure accuracy, compliance with regulations, and the detection of fraud or errors."
5086,Biology,Microbiology,"Microbiology studies microorganisms, including bacteria, viruses, fungi, and protozoa, exploring their structure, function, ecology, and roles in disease, biotechnology, and environmental processes."
5087,Art History,Renaissance,"Renaissance Art History studies the art and cultural developments of the Renaissance period, characterized by a revival of classical learning and values, and the creation of masterpieces by artists like Leonardo da Vinci, Michelangelo, and Raphael."
5088,Physics,Optics,"Optics is a branch of physics that studies the behavior and properties of light, including its interactions with matter, and the design of instruments like lenses and mirrors."
5089,Economics,General Economics,"General Economics covers the basic principles of economics, including supply and demand, market structures, economic systems, and the role of government in economic activities."
5090,Business,General Business,"General Business covers the broad range of activities involved in running a business, including management, finance, marketing, operations, and strategy, providing an overview of the key functions and principles of business."
5091,Economics,Behavioral Economics,"Behavioral Economics examines the psychological factors that influence economic decision-making, challenging traditional economic models by incorporating insights from psychology and sociology."
5092,Computer Science,Operating Systems,"Operating Systems in Computer Science refers to the software that manages hardware resources and provides services for computer programs, including tasks like memory management, process scheduling, and file handling."
5093,Chemistry,Analytical Chemistry,"Analytical Chemistry involves the study of techniques and methods for analyzing the composition of substances, including qualitative and quantitative analysis, spectroscopy, and chromatography."
5094,Engineering,General Engineering,"General Engineering covers the broad principles and practices of engineering across various disciplines, including the application of scientific and mathematical principles to design, build, and maintain structures, machines, and systems."
5095,Law,General Law,"General Law covers the foundational principles and concepts of law, including the study of legal systems, rights and duties, contracts, torts, property law, and the role of law in society."
5096,Programming,Java,"Java is a versatile, object-oriented programming language widely used for building cross-platform applications, including web, mobile, and enterprise-level software."
5097,Sociology,Urban Studies,"Urban Studies in Sociology examines the social, economic, and environmental issues related to urbanization, including urban planning, housing, transportation, and the challenges of sustainable urban development."
5098,Physics,Mechanics,"Mechanics in Physics studies the motion of objects and the forces that cause or change motion, including the analysis of kinematics, dynamics, and the principles of Newtonian mechanics."
5099,Statistics,Time Series,"Time Series in Statistics involves the analysis of data points collected or recorded at specific time intervals, including the modeling and forecasting of trends, cycles, and seasonal variations in time-dependent data."
5100,Political Science,Public Policy,"Public Policy in Political Science refers to the study of the processes and outcomes of government decisions and actions, including policy formulation, implementation, evaluation, and the impact on society."
5101,Programming,TypeScript,"TypeScript is a typed superset of JavaScript that adds static types to the language, enabling better tooling, error detection, and large-scale application development."
5102,Sociology,Social Theory,"Social Theory in Sociology explores the theoretical frameworks that explain social phenomena, including the analysis of social structures, power, inequality, and the processes of social change."
5103,Physics,Nuclear Physics,"Nuclear Physics studies the components and behavior of atomic nuclei, exploring nuclear reactions, radiation, and applications in energy production and medical imaging."
5104,Statistics,Experimental Design,"Experimental Design in Statistics involves planning experiments to ensure valid, reliable, and unbiased results, including the selection of appropriate controls, randomization, and the analysis of variance."
5105,Art History,Society,"Art History and Society explores how art reflects and influences societal values, beliefs, and events, examining the relationship between artistic expression and social, political, and cultural contexts."
5106,Programming,Perl,"Perl is a high-level, general-purpose programming language known for its text processing capabilities, often used for scripting, web development, and network programming."
5107,History,General History,"General History covers the broad study of historical events, trends, and movements across different periods and regions, exploring the causes and consequences of change in human societies."
5108,Philosophy,Metaphysics,"Metaphysics in Philosophy explores the fundamental nature of reality, including questions about existence, identity, time, space, causality, and the relationship between mind and matter."
5109,Physics,Quantum Mechanics,"Quantum Mechanics is a fundamental theory in physics that describes the behavior of particles on the atomic and subatomic levels, including phenomena like superposition, entanglement, and wave-particle duality."
5110,Chemistry,Inorganic Chemistry,"Inorganic Chemistry studies the properties and behaviors of inorganic compounds, including metals, minerals, and organometallic compounds, and their applications in fields like catalysis, materials science, and medicine."
5111,Business,Marketing Research,"Marketing Research involves the collection, analysis, and interpretation of data related to consumer behavior, market trends, and the effectiveness of marketing strategies, providing insights for decision-making."
5112,Biology,Biochemistry,"Biochemistry studies the chemical processes within and related to living organisms, including the structure and function of biomolecules, metabolism, and the molecular basis of diseases."
5113,Sociology,Education,"Sociology of Education explores how educational institutions and experiences affect individuals and society, including issues related to inequality, socialization, curriculum, and educational policies."
5114,Sociology,Political Sociology,"Political Sociology examines the relationship between society and politics, including the study of power, authority, governance, social movements, and the impact of political structures on social relations."
5115,Statistics,Statistical Methods,"Statistical Methods involve techniques for collecting, analyzing, interpreting, and presenting data, including concepts such as probability, hypothesis testing, regression, and sampling."
5116,Mathematics,Logic,"Logic in Mathematics involves the study of formal systems of reasoning, including the principles of valid inference, the structure of arguments, and the foundations of mathematical proof."
5117,Engineering,Civil Engineering,"Civil Engineering involves the design, construction, and maintenance of infrastructure projects such as roads, bridges, dams, and buildings, focusing on structural integrity, materials, and environmental considerations."
5118,Accounting,Cost Accounting,"Cost Accounting involves the recording, analysis, and reporting of costs associated with the production of goods and services, including budgeting, cost control, and profitability analysis."
5119,Sociology,Health,"Health Sociology examines the social determinants of health, including how factors like socioeconomic status, race, gender, and environment influence health outcomes and healthcare access."
5120,History,Ancient History,"Ancient History studies the civilizations of the ancient world, including Mesopotamia, Egypt, Greece, Rome, and China, exploring their political systems, cultures, economies, and contributions to human civilization."
5121,Philosophy,Science,"Philosophy of Science explores the foundational questions about the nature of scientific inquiry, including the methods, assumptions, and implications of scientific theories, as well as the relationship between science and society."
5122,Programming,Dart,"Dart is a programming language designed for building web, mobile, and server applications, developed by Google, and known for its fast execution and ease of use, particularly in building front-end user interfaces with the Flutter framework."
5123,Education,Inclusion,"Inclusion in Education focuses on practices and policies that ensure all students, regardless of their abilities, backgrounds, or identities, have access to equitable learning opportunities and are fully integrated into the educational environment."
5124,Chemistry,Biochemistry,"Biochemistry in Chemistry focuses on the chemical processes that occur within living organisms, including the study of proteins, nucleic acids, lipids, and carbohydrates, and their roles in metabolism and cellular function."
5125,Chemistry,Medicinal Chemistry,"Medicinal Chemistry involves the design, synthesis, and development of pharmaceutical compounds, focusing on the chemical aspects of drug discovery and the interaction of drugs with biological targets to treat diseases."
5126,Art History,Modern Art,"Modern Art History focuses on the art produced between the late 19th and mid-20th centuries, exploring movements such as Impressionism, Cubism, Surrealism, and Abstract Expressionism, and their impact on the art world."
5127,Mathematics,Probability,"Probability in Mathematics involves the study of the likelihood of different outcomes in uncertain situations, providing a framework for quantifying and analyzing random events and their potential impacts."
5128,Art History,Contemporary Art,"Contemporary Art History studies the art of the late 20th and 21st centuries, exploring diverse forms, movements, and themes, including the impact of technology, globalization, and cultural identity on artistic expression."
5129,Education,General Education,"General Education covers the foundational principles and practices of teaching and learning, including curriculum development, instructional strategies, and educational psychology."
5130,Astronomy,Exoplanets,"Exoplanets in Astronomy involves the study of planets that orbit stars outside our solar system, including their detection, characterization, and the exploration of their potential to support life."
5131,Computer Science,Databases,"Databases in Computer Science refer to the organized collection of data that can be accessed, managed, and updated, including the study of database design, management systems, and query languages like SQL."
5132,Psychology,Developmental Psychology,"Developmental Psychology studies the psychological changes that occur across the lifespan, from infancy to old age, including cognitive, emotional, social, and moral development."
5133,Philosophy,General Philosophy,"General Philosophy explores the fundamental questions about existence, knowledge, values, reason, mind, and language, addressing issues such as reality, morality, consciousness, and the nature of truth."
5134,Economics,Public Economics,"Public Economics examines the role of government in the economy, focusing on issues like taxation, government spending, public goods, and the impact of government policies on economic efficiency and distribution."
5135,Computer Science,Security,"Computer Security involves protecting computer systems and networks from information disclosure, theft, damage, and disruption, including the study of cryptography, network security, and cybersecurity protocols."
5136,Philosophy,Ethics,"Ethics in Philosophy studies the moral principles that govern human behavior, including the analysis of what is right and wrong, justice, virtue, and the nature of moral responsibility."
5137,Physics,Statistical Mechanics,"Statistical Mechanics in Physics studies the behavior of systems with a large number of particles, using statistical methods to relate the microscopic properties of particles to the macroscopic properties of materials, such as temperature and pressure."
5138,Biology,Cell Biology,"Cell Biology studies the structure, function, and behavior of cells, the basic units of life, including the analysis of cell membranes, organelles, and the processes of cell division, signaling, and metabolism."
5139,Environmental Science,Conservation,"Conservation in Environmental Science focuses on the protection and management of natural resources and biodiversity, including strategies to preserve ecosystems, wildlife, and habitats from degradation and extinction."
5140,Law,Constitutional Law,"Constitutional Law studies the fundamental principles and rules governing the structure and operation of a government, including the interpretation and application of constitutional rights, powers, and limitations."
5141,Computer Science,General Computer Science,"General Computer Science covers the fundamental concepts and principles of computing, including programming, data structures, algorithms, computer architecture, and the theory of computation."
5142,Engineering,Software Engineering,"Software Engineering in Engineering focuses on the systematic approach to designing, developing, testing, and maintaining software systems, ensuring quality, efficiency, and reliability in software products."
5143,Political Science,Comparative Politics,"Comparative Politics involves the comparison of political systems, institutions, and behaviors across different countries, analyzing similarities and differences to understand how political systems operate globally."
5144,Programming,R,"R is a programming language and software environment commonly used for statistical computing and graphics, widely used in data analysis, statistical modeling, and data visualization."
5145,Environmental Science,Chemistry,"Environmental Chemistry studies the chemical processes that occur in the environment, including the effects of pollutants, the chemical composition of natural resources, and the development of sustainable chemical practices."
5146,Programming,PHP,"PHP is a widely-used open-source scripting language that is especially suited for web development, enabling the creation of dynamic content, server-side scripting, and integration with databases."
5147,Art History,Criticism,"Art Criticism in Art History involves the analysis and evaluation of artworks, exploring their meaning, context, technique, and impact, and providing interpretations and judgments about their artistic value."
5148,Economics,Macroeconomics,"Macroeconomics studies the behavior and performance of an economy as a whole, including issues like inflation, unemployment, economic growth, and monetary and fiscal policies."
5149,Psychology,Social Psychology,"Social Psychology examines how individuals' thoughts, behaviors, and emotions are influenced by the presence of others. It includes topics such as social influence, group behavior, and interpersonal relationships."
5150,Engineering,Electrical Engineering,"Electrical Engineering involves the study and application of electricity, electronics, and electromagnetism, including the design and development of electrical systems, circuits, and devices used in power generation, telecommunications, and computing."
5151,Sociology,Inequality,"Sociology of Inequality explores the social, economic, and political disparities that exist within and between societies, examining the causes and consequences of inequality related to class, race, gender, and other factors."
5152,Business,Consumer Behavior,"Consumer Behavior in Business studies the decision-making processes of individuals and groups when purchasing goods and services, including factors influencing buying decisions, marketing strategies, and consumer psychology."
5153,Economics,Economic Policy,"Economic Policy involves the study of government actions aimed at influencing economic activity, including fiscal policy, monetary policy, trade policy, and regulatory measures to promote economic stability and growth."
5154,Sociology,Research Methods,"Research Methods in Sociology involve the systematic study of social phenomena, including the design, data collection, and analysis of qualitative and quantitative research, as well as the ethical considerations of conducting sociological research."
5155,Education,Leadership,"Educational Leadership focuses on the roles and responsibilities of leaders in educational settings, including the development of vision, management of resources, and fostering of effective teaching and learning environments."
5156,Economics,International Economics,"International Economics studies the flow of goods, services, and capital across international borders, including the analysis of trade policies, exchange rates, global markets, and the economic effects of globalization."
5157,Business,Digital Marketing,"Digital Marketing involves promoting products and services using digital technologies, including online advertising, social media marketing, content marketing, search engine optimization, and data analytics."
5158,Law,Criminal Law,"Criminal Law involves the study of laws related to crime, including the definition of criminal offenses, the legal procedures for prosecution, and the penalties for convicted offenders."
5159,Programming,Python,"Python is a versatile, high-level programming language known for its simplicity and readability, widely used for web development, data analysis, artificial intelligence, scientific computing, and automation."
5160,Programming,JavaScript,"JavaScript is a versatile programming language primarily used for creating dynamic and interactive content on web pages, enabling features such as animations, form validation, and API integration."
5161,Chemistry,General Chemistry,"General Chemistry covers the fundamental concepts of chemistry, including atomic structure, chemical bonding, reactions, stoichiometry, and the properties of matter."
5162,Statistics,Multivariate Analysis,"Multivariate Analysis in Statistics involves the examination of more than two variables simultaneously to understand relationships, patterns, and trends in complex data sets, including techniques like factor analysis, cluster analysis, and principal component analysis."
5163,Computer Science,AI,"Artificial Intelligence (AI) in Computer Science involves the development of algorithms and systems that enable machines to perform tasks that typically require human intelligence, such as learning, reasoning, problem-solving, and decision-making."
5164,Programming,Rust,"Rust is a systems programming language known for its focus on safety, especially memory safety, concurrency, and performance, making it suitable for building reliable and efficient software systems."
5165,Astronomy,Planetary Science,"Planetary Science studies the formation, structure, and evolution of planets, moons, and other celestial bodies within our solar system and beyond, including their atmospheres, surfaces, and potential for life."
5166,Economics,Microeconomics,"Microeconomics studies the behavior of individuals and firms in making decisions regarding the allocation of limited resources, including the analysis of supply and demand, market structures, and consumer behavior."
5167,Statistics,Data Analysis,"Data Analysis in Statistics involves the process of examining, cleaning, transforming, and modeling data to discover useful information, draw conclusions, and support decision-making."
5168,Physics,General Physics,"General Physics covers the fundamental principles of physics, including the study of mechanics, electromagnetism, thermodynamics, optics, and modern physics, providing a foundation for understanding the natural world."
5169,Computer Science,Software Engineering,"Software Engineering involves the application of engineering principles to the design, development, testing, and maintenance of software systems, focusing on quality, reliability, and efficiency."
5170,Programming,Shell Scripting,"Shell Scripting involves writing scripts in a command-line shell, automating tasks such as file manipulation, program execution, and system administration, commonly used in Unix/Linux environments."
5171,Environmental Science,Climate Change,"Climate Change in Environmental Science examines the long-term changes in Earth's climate system, including the causes, impacts, and mitigation strategies related to global warming and environmental sustainability."
5172,Programming,C#,"C# is a modern, object-oriented programming language developed by Microsoft, widely used for developing desktop applications, web applications, and games."
5173,Sociology,Family Studies,"Family Studies in Sociology examines the social dynamics of families, including the roles and relationships within families, the impact of social change on family structures, and the interaction between family life and broader social institutions."
5174,Anthropology,Archaeology,"Archaeology is a branch of Anthropology that studies human history and prehistory through the excavation and analysis of artifacts, structures, and other physical remains."
