Request_id,Request_type,Request_description,Request_date,Request_librarian,Request_status
43,books,Request to replace the missing copy of 'The Road' by Cormac McCarthy.,2024-04-05,275888410,closed
44,other,Need assistance with setting up an e-book lending program.,2024-08-11,343603908,in progress
45,maintenance,Request to clean the dirt buildup on the windowsills.,2024-06-17,201226883,in progress
46,maintenance,Requesting maintenance for the faulty wiring in the lighting system.,2024-04-14,311782056,waiting
47,room,Seeking to reserve the outdoor pavilion for a summer reading program kickoff.,2024-02-29,213140700,closed
48,other,Seeking to establish a library scholarship fund.,2024-09-06,283230282,done
49,books,Seeking 'The Art of Computer Programming' by Donald Knuth for the algorithms section.,2024-03-21,332147107,waiting
50,books,Need to purchase 'Astrophysics for People in a Hurry' by Neil deGrasse Tyson.,2024-05-28,213125727,waiting
51,books,Seeking 'The Alchemist' by Paulo Coelho for the inspirational fiction section.,2024-11-06,328470141,waiting
52,other,Looking to organize a wellness program for patrons.,2024-05-25,221873193,done
53,maintenance,Need to repair the damaged bulletin board in the main lobby.,2024-01-31,277425112,done
54,room,Request to book the dance studio for a dance rehearsal in the evening.,2024-04-06,213790827,waiting
55,other,Need to design promotional materials for upcoming events.,2024-05-01,376831376,in progress
56,maintenance,Request to fix the leaky faucet in the main restroom.,2024-04-23,284201662,closed
57,maintenance,Seeking to address the water leak in the basement storage area.,2024-07-18,363982018,waiting
58,maintenance,Need to repair the damaged chair in the staff office.,2024-02-08,381043645,waiting
59,books,Request for 'The Power of Habit' by Charles Duhigg for the self-help section.,2024-05-05,322215724,in progress
60,room,Request to use the library garden for a community garden workshop.,2024-09-16,300221710,waiting
61,maintenance,Looking to fix the water-damaged wall in the reading room.,2024-01-17,260056007,closed
62,books,Looking to replace the worn-out copy of 'Brave New World' by Aldous Huxley.,2024-09-11,209926450,done
63,books,Looking for 'A Brief History of Time' by Stephen Hawking for the science section.,2024-08-11,352058077,done
64,books,Requesting 'The Wright Brothers' by David McCullough for the biography section.,2024-03-01,248942815,in progress
65,room,Looking to reserve the lecture hall for a panel discussion on climate change.,2024-05-25,229568209,waiting
66,maintenance,Need to address the rodent problem in the basement.,2024-05-06,269170593,done
67,books,Looking to replace 'The Odyssey' by Homer in the classical literature section.,2024-07-19,229568209,done
68,books,Need a new edition of 'Linear Algebra and Its Applications' by Gilbert Strang.,2024-01-31,284819760,waiting
69,room,Seeking to reserve the board room for a board of directors meeting.,2024-07-27,200660389,closed
70,room,Seeking to book the interview room for a job recruitment session.,2024-08-05,381043645,in progress
71,maintenance,Seeking to replace the broken stapler in the reception area.,2024-03-31,210316964,waiting
72,other,Looking to create a library garden project.,2024-04-27,358242451,closed
73,maintenance,Request to clean the dust from the top shelves in the stacks.,2024-06-07,202124350,done
74,other,Looking to create a library garden project.,2024-04-16,362268922,closed
75,room,Need the main study room for a silent reading period.,2024-04-19,312620313,in progress
76,other,Seeking to establish a technology training center in the library.,2024-04-11,343899472,closed
77,maintenance,Need to repair the damaged shelving in the reference section.,2024-09-29,259978567,done
78,other,Seeking to develop a library resource guide for educators.,2024-03-20,203821541,waiting
79,maintenance,Requesting maintenance for the malfunctioning elevator.,2024-10-23,268541885,in progress
80,maintenance,Seeking to replace the broken magnifying glass in the reading room.,2024-04-14,279782528,closed
81,room,Requesting the use of the parent-child room for a family literacy event.,2024-11-07,352080659,in progress
82,other,Need assistance with setting up a library-hosted open mic night.,2024-07-11,371954678,done
83,other,Looking to coordinate with local schools for library tours.,2024-01-12,336757406,waiting
84,books,Seeking 'The Black Swan' by Nassim Nicholas Taleb for the finance section.,2024-10-15,328727094,closed
85,maintenance,Seeking to replace the broken chairs in the community room.,2024-10-31,200531127,done
86,room,Seeking to book the main library hall for a fundraising gala.,2024-02-05,246297550,done
87,books,Seeking 'The Art of Computer Programming' by Donald Knuth for the algorithms section.,2024-07-16,253139539,waiting
88,books,Need a new edition of 'On the Origin of Species' by Charles Darwin.,2024-08-26,266543669,in progress
89,room,Need a room for a mindfulness meditation group.,2024-10-28,397795675,in progress
90,room,Looking to reserve the language lab for a foreign language workshop.,2024-08-22,380543645,done
91,other,Request to host a local author's book signing event.,2024-03-26,342088705,closed
92,other,Request to collaborate with local schools for field trips.,2024-06-30,374983211,done
93,room,Requesting the use of the demonstration kitchen for a cooking class.,2024-03-06,352080659,done
94,maintenance,Need to unclog the sink in the staff kitchen.,2024-07-04,357314350,closed
95,other,Requesting support for a library-hosted community theater program.,2024-10-24,298610999,done
96,books,Requesting 'The Power of Now' by Eckhart Tolle for the self-help section.,2024-05-24,358242451,in progress
97,other,Need to design promotional materials for upcoming events.,2024-10-27,278304159,done
98,room,Request to book the lounge area for a casual meet-and-greet event.,2024-09-04,202213385,closed
99,other,Requesting support for a library-hosted career fair.,2024-10-20,343990297,in progress
100,room,Seeking to reserve the board room for a board of directors meeting.,2024-04-21,256528688,in progress
101,other,Looking to organize a career day event featuring local professionals.,2024-07-07,293532545,closed
102,books,Request to acquire 'The Elements of Statistical Learning' for the statistics section.,2024-03-11,388284168,closed
103,books,Looking for 'The Life-Changing Magic of Tidying Up' by Marie Kondo.,2024-05-06,312000334,waiting
104,other,Need to set up a library card registration booth at the local fair.,2024-02-24,284819760,in progress
105,books,Request to add 'History of Ancient Civilizations' to the history collection.,2024-04-03,363189945,done
106,maintenance,Need to address the pest control issue in the archive room.,2024-09-25,240447144,in progress
107,maintenance,Need to repair the damaged curtain rod in the meeting room.,2024-06-07,275273902,waiting
108,other,Need to plan a library-hosted art workshop series.,2024-06-02,357314350,in progress
109,maintenance,Need to repair the damaged chair in the staff office.,2024-03-08,284201662,done
110,books,Request to add 'The Handmaid's Tale' by Margaret Atwood to the dystopian fiction section.,2024-08-21,301307625,waiting
111,other,Looking to organize a library-hosted knitting club.,2024-06-19,284201662,done
112,room,Seeking to reserve the outdoor pavilion for a summer reading program kickoff.,2024-03-27,342088705,in progress
113,books,"Requesting 'Guns, Germs, and Steel' by Jared Diamond for the anthropology section.",2024-09-01,325460236,in progress
114,room,Need a workshop space for a creative writing seminar.,2024-04-29,203922083,closed
115,maintenance,Need to address the rodent problem in the basement.,2024-02-15,208001834,closed
116,room,Request to use the debate room for a high school debate tournament.,2024-07-02,343626172,waiting
117,other,Request to collaborate with local artists for a mural project.,2024-01-23,253714257,waiting
118,other,Requesting support for a library podcast series.,2024-01-22,203821541,in progress
119,books,Need to purchase 'Grit: The Power of Passion and Perseverance' for the psychology section.,2024-01-06,205161656,closed
120,other,Request to start a monthly film screening series in the library.,2024-02-29,261844724,closed
121,books,Need a new edition of 'Campbell Biology' for the biology department.,2024-04-26,380683862,in progress
122,books,Need a new edition of 'Linear Algebra and Its Applications' by Gilbert Strang.,2024-02-21,273389718,waiting
123,books,Looking to acquire 'Thinking in Systems' by Donella Meadows for the systems theory section.,2024-01-16,202124350,closed
124,other,Requesting support for a library photography contest.,2024-04-14,387341787,closed
125,maintenance,Request to service the projector in the multimedia room.,2024-06-10,304975725,waiting
126,maintenance,Requesting maintenance for the malfunctioning computer terminals.,2024-03-21,215243817,done
127,other,Need to plan a library-hosted tech fair.,2024-02-06,334800141,waiting
128,maintenance,Looking to fix the loose tiles in the entrance hallway.,2024-04-01,300165255,done
129,maintenance,Requesting maintenance for the broken ceiling tiles in the archive room.,2024-01-29,207094053,waiting
130,maintenance,Request to replace the flickering lights in the computer lab.,2024-02-12,394294102,waiting
131,room,Request to book the basement area for a science fair.,2024-10-23,203922083,done
132,room,Looking to reserve the quiet study area for individual study sessions.,2024-05-19,368864328,closed
133,room,Looking to reserve the small auditorium for an indie film festival.,2024-06-12,250628864,done
134,maintenance,Seeking to replace the broken faucet in the staff restroom.,2024-02-23,278304159,closed
135,room,Looking to reserve the creative corner for a DIY crafts session.,2024-04-18,286218151,done
136,maintenance,Looking to fix the water fountain in the lobby.,2024-07-09,316340561,closed
137,room,Seeking to book the main library hall for a fundraising gala.,2024-04-18,301452777,closed
138,other,Requesting help to develop a multilingual library catalog.,2024-09-01,213140700,done
139,room,Looking to reserve the training room for a professional development workshop.,2024-06-03,270164833,done
140,other,Requesting help with planning a library-hosted science lecture series.,2024-03-11,354443129,waiting
141,other,Need to set up a library card registration booth at the local fair.,2024-05-27,340042613,closed
142,maintenance,Request to clean the bird droppings from the windows.,2024-08-05,205505134,waiting
143,maintenance,Seeking to replace the broken faucet in the staff restroom.,2024-08-06,272134974,closed
144,room,Looking to reserve the makerspace for a STEM education event.,2024-09-16,381073709,in progress
145,other,Requesting help with setting up a library tutoring program.,2024-09-27,213253230,closed
146,room,Request to use the seminar room for a guest lecture on Monday morning.,2024-02-24,253940100,in progress
147,maintenance,Requesting maintenance for the faulty thermostat in the staff lounge.,2024-05-11,206694648,done
148,maintenance,Need to repair the damaged staircase railing.,2024-09-09,286218151,closed
149,books,Seeking 'The Hobbit' by J.R.R. Tolkien for the fantasy section.,2024-08-07,335700035,done
150,books,Seeking 'Never Split the Difference' by Chris Voss for the negotiation section.,2024-01-12,398864504,done
151,other,Seeking to set up a virtual library tour.,2024-07-09,391388998,waiting
152,maintenance,Requesting maintenance for the malfunctioning fire alarm system.,2024-06-12,375013737,in progress
153,books,Request to add 'History of Ancient Civilizations' to the history collection.,2024-01-29,272134974,in progress
154,maintenance,Need to repair the damaged staircase railing.,2024-06-23,210316964,in progress
155,maintenance,Seeking to replace the broken coat rack in the entryway.,2024-03-14,288738578,waiting
156,room,Need the IT lab for a cybersecurity workshop.,2024-01-01,386513287,closed
157,room,Need a classroom for an after-school tutoring program.,2024-01-13,277864716,in progress
158,books,Need to purchase 'The Secret History' by Donna Tartt for the mystery section.,2024-01-02,387683428,closed
159,other,Seeking to develop a library resource guide for job seekers.,2024-11-02,269246864,done
160,room,Looking to reserve the small auditorium for an indie film festival.,2024-04-02,279782528,closed
161,maintenance,Request to clean the mold off the bathroom tiles.,2024-06-05,220550354,done
162,maintenance,Seeking to replace the broken lock on the storage closet.,2024-04-20,260056007,closed
163,other,Looking to establish a library-hosted meditation class.,2024-01-14,360801609,closed
164,other,Looking to establish a book exchange program with other libraries.,2024-08-17,294799614,waiting
165,other,Requesting help with the library's participation in the community parade.,2024-02-11,318471364,in progress
166,maintenance,Need to repair the damaged curtain rod in the meeting room.,2024-04-03,269548038,done
167,maintenance,Looking to fix the loose tiles in the entrance hallway.,2024-05-07,314024977,waiting
168,maintenance,Request to clean the water stains on the walls in the basement.,2024-06-27,269246864,done
169,room,Request to use the theater for a classic film series screening.,2024-02-04,398864504,closed
170,books,Seeking the complete works of Shakespeare for the drama department.,2024-02-17,304375306,waiting
171,other,Requesting help with the library's participation in the community parade.,2024-06-13,200229912,closed
172,room,Request to use the seminar room for a guest lecture on Monday morning.,2024-09-25,203922083,waiting
173,other,Need assistance with planning a library gala fundraiser.,2024-07-24,375013737,waiting
174,room,Request to use the collaboration room for a team-building exercise.,2024-02-06,380543645,done
175,maintenance,Request to clean the bird droppings from the windows.,2024-11-04,336625082,closed
176,room,Request to book the storytelling circle for a children's story hour.,2024-05-26,221401615,waiting
177,room,Request to use the history room for a genealogy research session.,2024-04-29,352058077,waiting
178,maintenance,Looking to fix the loose cabinet door in the staff kitchen.,2024-03-19,203027586,done
179,maintenance,Seeking to replace the broken glass in the main entrance door.,2024-02-09,273731877,done
180,maintenance,Request to clean the muddy footprints from the entryway.,2024-04-20,354443129,waiting
181,room,Requesting the use of the large conference hall for a corporate event.,2024-09-29,280739152,in progress
182,books,Requesting 'The Joy of Cooking' for the culinary arts section.,2024-06-24,287396774,done
183,other,Need assistance with setting up a library-hosted open mic night.,2024-09-16,227721123,done
184,other,Need assistance with setting up a digital library catalog.,2024-05-06,363713934,closed
185,other,Requesting assistance with hosting a coding bootcamp for teens.,2024-06-24,365825033,done
186,room,Requesting the use of the top floor conference room for a strategy meeting.,2024-08-11,292019064,done
187,maintenance,Requesting maintenance for the malfunctioning light sensor in the hallway.,2024-06-23,221873193,done
188,maintenance,Need to repair the damaged steps at the main entrance.,2024-03-29,256757899,done
189,books,Need additional copies of 'The Great Gatsby' for the upcoming literature class.,2024-11-07,234523116,waiting
190,books,Requesting 'Steve Jobs' by Walter Isaacson for the business biography section.,2024-09-30,275973766,closed
191,other,Request to create an online archive of local history.,2024-05-19,269548038,done
192,other,Seeking to establish a library-sponsored book club.,2024-07-09,349278614,done
193,books,Need additional copies of 'The Iliad' by Homer.,2024-01-18,335700035,done
194,books,Seeking 'The Black Swan' by Nassim Nicholas Taleb for the finance section.,2024-11-11,275518793,waiting
195,maintenance,Looking to fix the cracked pavement in the parking lot.,2024-03-02,213125727,done
196,maintenance,Need to fix the leaking roof in the library cafe.,2024-07-22,281471201,waiting
197,room,Requesting the use of the top floor conference room for a strategy meeting.,2024-11-05,343603908,waiting
198,other,Need assistance with planning a library gala fundraiser.,2024-05-05,215129123,waiting
199,maintenance,Request to repair the roof leak in the auditorium.,2024-08-20,287850242,closed
200,maintenance,Request to fix the leaky faucet in the main restroom.,2024-01-30,358242451,waiting
201,room,Need a brainstorming room for a startup innovation meeting.,2024-01-08,324849645,in progress
202,books,Looking to acquire 'Thinking in Systems' by Donella Meadows for the systems theory section.,2024-04-01,330212051,in progress
203,room,Request to book the main lobby for a holiday decoration event.,2024-10-08,281471201,waiting
204,maintenance,Looking to fix the electrical issues in the staff office.,2024-08-14,329529051,in progress
205,maintenance,Need to repair the damaged fire escape ladder.,2024-02-04,266146166,waiting
206,books,Seeking 'The Girl with the Dragon Tattoo' by Stieg Larsson for the mystery section.,2024-11-03,327109013,in progress
207,maintenance,Seeking to replace the stained carpet in the children's area.,2024-10-29,231522129,in progress
208,maintenance,Requesting maintenance for the malfunctioning light sensor in the hallway.,2024-02-18,334800141,in progress
209,books,Need to purchase 'Astrophysics for People in a Hurry' by Neil deGrasse Tyson.,2024-01-28,289167405,waiting
210,maintenance,Seeking to replace the broken stapler in the reception area.,2024-09-02,329554125,in progress
211,other,Looking to organize a library open house event.,2024-05-31,385091780,closed
212,books,Requesting 'Outliers' by Malcolm Gladwell for the sociology section.,2024-05-31,240447144,waiting
213,maintenance,Looking to fix the loose cabinet door in the staff kitchen.,2024-08-16,329529051,waiting
214,other,Looking to establish a library chess club.,2024-07-30,297170813,closed
215,room,Looking to reserve the tech innovation space for an app development workshop.,2024-01-27,387683428,done
216,maintenance,Request to clean the clogged gutters around the building.,2024-02-15,374983211,done
217,books,Looking for 'The Pragmatic Programmer' for the software engineering section.,2024-01-31,284201662,in progress
218,books,Request to acquire 'The Elements of Statistical Learning' for the statistics section.,2024-04-29,269170593,in progress
219,books,Need to purchase 'The Secret History' by Donna Tartt for the mystery section.,2024-07-10,305539405,waiting
220,books,Requesting 'The Wright Brothers' by David McCullough for the biography section.,2024-01-18,380683862,waiting
221,other,Request to develop a reading buddy system for kids.,2024-03-07,314024977,waiting
222,books,Requesting 'The Theory of Everything' by Stephen Hawking for the astrophysics section.,2024-04-27,256757899,done
223,room,Request to use the youth activity room for a teen game night.,2024-04-28,260056007,waiting
224,maintenance,Seeking to replace the broken lock on the storage closet.,2024-08-04,387341787,closed
225,other,Need to conduct a survey on library services and patron satisfaction.,2024-01-25,314552597,waiting
226,other,Looking to create a special section for local history and genealogy research.,2024-01-26,297170813,in progress
227,books,Looking to add 'Biochemistry: Concepts and Connections' to the biology section.,2024-08-23,246512818,waiting
228,room,Requesting the use of the parent-child room for a family literacy event.,2024-10-20,343291431,in progress
229,maintenance,Seeking to replace the stained carpet in the children's area.,2024-06-02,263996035,closed
230,maintenance,Seeking to replace the broken shelves in the fiction section.,2024-03-12,301307625,closed
231,room,Requesting the use of the craft room for an arts and crafts workshop.,2024-07-31,314552597,waiting
232,books,Need additional copies of 'Pride and Prejudice' by Jane Austen.,2024-05-03,268541885,closed
233,other,Request to collaborate with local schools for field trips.,2024-05-23,217666684,done
234,books,Request for 'Creative Writing: A Workbook with Readings' for the creative writing class.,2024-11-01,327100566,waiting
235,maintenance,Requesting maintenance for the malfunctioning security cameras.,2024-10-02,373952407,closed
236,room,Requesting the use of the music room for a band practice on Saturday.,2024-08-21,301452777,in progress
237,room,Requesting the use of the group study room for a brainstorming session.,2024-08-11,343603908,in progress
238,books,Seeking 'Never Split the Difference' by Chris Voss for the negotiation section.,2024-07-09,230356354,in progress
239,books,Looking to acquire 'The Elements of Style' by Strunk and White for the writing resources section.,2024-05-30,231404294,waiting
240,books,Need a new edition of 'Physics for Scientists and Engineers' by Serway and Jewett.,2024-04-30,216128694,waiting
241,other,Need to set up a library card registration booth at the local fair.,2024-04-25,395176308,waiting
242,maintenance,Seeking to replace the broken faucet in the staff restroom.,2024-05-22,253940100,done
243,room,Looking to use the auditorium for a local theater performance.,2024-04-18,368864328,closed
244,books,Seeking the complete works of Shakespeare for the drama department.,2024-10-06,314052127,waiting
245,maintenance,Need to repair the damaged steps at the main entrance.,2024-05-20,322215724,in progress
246,room,Request to use the exhibition hall for an art display next weekend.,2024-10-13,203027586,done
247,room,Request to book the dance studio for a dance rehearsal in the evening.,2024-05-22,211950654,closed
248,other,Seeking to develop a library resource guide for job seekers.,2024-02-03,213253230,closed
249,maintenance,Seeking to replace the broken chairs in the community room.,2024-05-09,339630600,closed
250,room,Requesting the use of the digital media room for a photography editing workshop.,2024-11-04,366132926,in progress
251,maintenance,Seeking to replace the broken chairs in the community room.,2024-06-07,394294102,done
252,maintenance,Request to fix the leaky faucet in the main restroom.,2024-07-12,335112132,waiting
253,maintenance,Seeking to replace the broken glass in the main entrance door.,2024-01-22,256256355,done
254,maintenance,Seeking to replace the broken clock in the seminar hall.,2024-07-05,387683428,in progress
255,books,Need a new edition of 'Physics for Scientists and Engineers' by Serway and Jewett.,2024-04-03,207094053,in progress
256,maintenance,Requesting maintenance for the malfunctioning air purifier in the archive.,2024-06-26,203922083,closed
257,books,Need to purchase 'Grit: The Power of Passion and Perseverance' for the psychology section.,2024-04-30,300221710,closed
258,other,Seeking to develop a library resource guide for small business owners.,2024-02-04,286218151,waiting
259,room,Request to book the storytelling circle for a children's story hour.,2024-08-31,293532545,done
260,books,Looking for 'Sapiens: A Brief History of Humankind' by Yuval Noah Harari.,2024-06-24,275973766,done
261,books,Seeking 'Never Split the Difference' by Chris Voss for the negotiation section.,2024-03-11,305749822,done
262,other,Need to set up a library card registration booth at the local fair.,2024-02-10,342406105,closed
263,other,Request to create a resource guide for new patrons.,2024-04-26,373952407,done
264,other,Looking to establish a library-hosted documentary film club.,2024-03-17,280326901,in progress
265,room,Request to book the main lobby for a holiday decoration event.,2024-02-22,203821541,closed
266,room,Requesting the use of the reception area for a welcoming ceremony.,2024-05-05,224880237,done
267,books,Looking to replace the damaged copy of 'The Scarlet Letter' by Nathaniel Hawthorne.,2024-11-02,200851160,done
268,books,Need additional copies of 'The Picture of Dorian Gray' by Oscar Wilde.,2024-03-28,243247319,closed
269,books,"Requesting 'Guns, Germs, and Steel' by Jared Diamond for the anthropology section.",2024-03-09,304975725,in progress
270,other,Looking to host a cultural exchange program.,2024-09-17,343899472,done
271,other,Looking to create a video series on library services.,2024-06-11,315711143,closed
272,maintenance,Seeking to replace the broken faucet in the staff restroom.,2024-04-29,300221710,done
273,books,Seeking 'Fahrenheit 451' by Ray Bradbury for the science fiction section.,2024-07-11,272539917,waiting
274,room,Need the seminar room for a financial literacy class.,2024-09-23,392214409,closed
275,room,Requesting the use of the craft room for an arts and crafts workshop.,2024-07-05,244258489,waiting
276,other,Request to start a library-hosted photography workshop.,2024-09-27,294799614,waiting
277,books,Seeking 'The 7 Habits of Highly Effective People' by Stephen Covey.,2024-04-09,360801609,done
278,maintenance,Looking to fix the drafty door in the conference room.,2024-06-04,380683862,done
279,books,Seeking 'The Immortal Life of Henrietta Lacks' for the medical history section.,2024-06-14,209926450,done
280,room,Request to reserve the main conference room for a staff meeting on Friday.,2024-02-02,231404294,in progress
281,room,Requesting the use of the music room for a band practice on Saturday.,2024-05-10,275071561,closed
282,room,Requesting the use of the audio-visual room for a documentary screening.,2024-04-14,290649268,waiting
283,maintenance,Looking to fix the squeaky door in the children's section.,2024-01-18,206653354,closed
284,other,Looking to establish a library-hosted meditation class.,2024-09-07,263340143,done
285,room,Requesting the use of the reception area for a welcoming ceremony.,2024-05-12,263996035,waiting
286,maintenance,Seeking to replace the broken mailbox at the front entrance.,2024-09-30,202738597,waiting
287,room,Request to use the community hall for a neighborhood watch meeting.,2024-05-11,314024977,closed
288,maintenance,Request to repair the damaged carpet in the seminar room.,2024-09-22,202510681,done
289,room,Looking to reserve the outdoor patio for a summer reading session.,2024-06-01,277425112,in progress
290,maintenance,Need to repair the damaged whiteboard in the study room.,2024-09-30,329529051,in progress
291,maintenance,Requesting maintenance for the malfunctioning vending machine.,2024-07-22,380543645,in progress
292,books,Seeking 'The Alchemist' by Paulo Coelho for the inspirational fiction section.,2024-07-19,204469027,in progress
293,maintenance,Requesting maintenance for the malfunctioning air purifier in the archive.,2024-01-07,279342661,waiting
294,room,Need the IT lab for a cybersecurity workshop.,2024-04-09,261844724,waiting
295,maintenance,Request to clean the spilled ink stain on the carpet.,2024-09-08,385533765,done
296,maintenance,Seeking maintenance for the HVAC system in the conference hall.,2024-02-05,343990297,in progress
297,other,Looking to create a resource center for small businesses.,2024-03-02,339411357,waiting
298,other,Need to set up a library card registration booth at the local fair.,2024-05-29,246512818,in progress
299,books,Looking for 'Sapiens: A Brief History of Humankind' by Yuval Noah Harari.,2024-08-24,392214409,done
300,maintenance,Requesting maintenance for the malfunctioning printer in the computer lab.,2024-01-07,260056007,done
301,maintenance,Requesting maintenance for the faulty thermostat in the staff lounge.,2024-02-24,305749822,in progress
302,room,Need the computer lab for a workshop on web development next Tuesday.,2024-01-23,213140700,closed
303,room,Seeking to book the large meeting room for a city council meeting.,2024-04-28,207094053,closed
304,other,Looking to organize a wellness program for patrons.,2024-07-05,246392112,closed
305,other,Looking to organize a career day event featuring local professionals.,2024-08-28,230250847,done
306,books,Requesting 'The Bell Jar' by Sylvia Plath for the modern classics section.,2024-01-24,356568279,waiting
307,maintenance,Looking to fix the leaky pipe in the utility closet.,2024-05-23,272834128,closed
308,books,Need a new edition of 'Physics for Scientists and Engineers' by Serway and Jewett.,2024-08-31,329222087,in progress
309,maintenance,Need to repair the damaged whiteboard in the study room.,2024-04-24,375383155,waiting
310,room,Seeking to book the library cafe for a book launch event.,2024-05-10,395868615,in progress
311,room,Request to use the theater for a classic film series screening.,2024-06-18,331803783,closed
312,other,Request to organize a children's summer reading program.,2024-10-05,356670364,in progress
313,books,Need to purchase 'The Kite Runner' by Khaled Hosseini for the modern fiction section.,2024-03-17,263582710,in progress
314,maintenance,Requesting maintenance for the faulty emergency exit sign.,2024-09-07,283510501,closed
315,other,Need to plan a library orientation session for new students.,2024-09-10,230006371,in progress
316,maintenance,Requesting maintenance for the malfunctioning light sensor in the hallway.,2024-06-27,222138711,closed
317,other,Looking to establish a library-hosted meditation class.,2024-10-31,228565115,closed
318,room,Requesting the use of the music room for a band practice on Saturday.,2024-02-27,230356354,waiting
319,other,Seeking to establish a library-sponsored book club.,2024-06-25,378822233,done
320,room,Requesting the use of the main library steps for a public demonstration.,2024-08-09,352080659,in progress
321,books,Seeking 'The Alchemist' by Paulo Coelho for the inspirational fiction section.,2024-07-03,266543669,done
322,maintenance,Seeking to replace the broken handrail on the stairs.,2024-08-06,294120373,waiting
323,other,Need to plan a library-hosted language exchange program.,2024-05-02,264368390,done
324,other,Need to design promotional materials for upcoming events.,2024-04-23,375013737,done
325,books,Looking to replace the missing copy of 'Wuthering Heights' by Emily Brontë.,2024-04-20,282902311,done
326,room,Request to use the library garden for a community garden workshop.,2024-11-11,253139539,waiting
327,books,Need to purchase 'The Secret History' by Donna Tartt for the mystery section.,2024-11-04,303663751,waiting
328,room,Requesting the use of the reception area for a welcoming ceremony.,2024-01-28,209926450,in progress
329,other,Request to organize a children's summer reading program.,2024-04-03,322215724,done
330,other,Requesting help with setting up a library-run bookshop.,2024-05-12,221393697,closed
331,maintenance,Seeking to replace the worn-out cushions in the reading room.,2024-06-07,270296197,in progress
332,books,Need to replace the worn-out copy of 'To Kill a Mockingbird'.,2024-10-07,332663491,waiting
333,room,Need a classroom for an after-school tutoring program.,2024-08-18,356263731,waiting
334,other,Looking to create a resource center for small businesses.,2024-02-25,395176308,waiting
335,other,Requesting assistance with the annual library fundraiser event.,2024-10-24,207094053,in progress
