Author_id,Author_academic_title,Author_first_name,Author_last_name,Author_birth_date,Nationality,Biography
1078,Prof.,Richard,Anderson,1999-12-10,Spain,Prof. Richard Anderson is a psychologist at the University of Haifa.
1079,Dr.,Michelle,Collins,1974-12-17,France,Dr. Michelle Collins is an economist at the Technion.
1080,Prof.,Kevin,Clark,2001-10-23,China,Prof. Kevin Clark is a historian at the Hebrew University.
1081,Dr.,Patricia,White,1954-11-18,USA,Dr. Patricia White is a chemist at Bar-Ilan University.
1082,Prof.,David,Martinez,1989-09-03,USA,Prof. David Martinez is a business expert at the University of Haifa.
1083,Dr.,Sarah,Thompson,1960-12-15,Italy,Dr. Sarah Thompson is an engineer at the Technion.
1084,Prof.,Robert,Lee,2003-10-16,Korea,Prof. Robert Lee is an environmental scientist at the University of Tel Aviv.
1085,Dr.,Emily,Wilson,1964-12-15,China,Dr. Emily Wilson is an art historian at the University of Haifa.
1086,Dr.,Amy,Williams,2001-10-17,Spain,Dr. Amy Williams is a software developer and professor at the University of Tel Aviv.
1087,Prof.,John,Smith,1975-02-16,Japan,Prof. John Smith is a seasoned Java developer and professor at the University of Haifa.
1088,Dr.,Emily,Davis,1965-04-17,India,Dr. Emily Davis is a C++ developer and lecturer at the Technion.
1089,Prof.,Michael,Johnson,1994-01-10,Korea,Prof. Michael Johnson is a JavaScript expert and professor at Bar-Ilan University.
1090,Dr.,Laura,Green,1965-01-09,Canada,Dr. Laura Green is a software developer and lecturer at Tel Aviv University.
1091,Prof.,David,Harris,2001-12-12,France,Prof. David Harris is a Ruby developer and professor at the Hebrew University.
1092,Dr.,Linda,Brown,1944-01-21,India,Dr. Linda Brown is a PHP developer and lecturer at the University of Haifa.
1093,Prof.,James,Anderson,1949-07-06,Italy,Prof. James Anderson is a Kotlin developer and professor at the Weizmann Institute of Science.
1094,Dr.,Rachel,Thompson,1952-05-20,Russia,Dr. Rachel Thompson is a C# developer and lecturer at Bar-Ilan University.
1095,Prof.,William,Harris,1957-08-09,Italy,Prof. William Harris is a Go developer and professor at Tel Aviv University.
1096,Dr.,Mary,Johnson,2006-08-28,UK,Dr. Mary Johnson is an R developer and lecturer at the University of Haifa.
1097,Prof.,Thomas,Green,1968-10-18,Israel,Prof. Thomas Green is a Scala developer and professor at the Technion.
1098,Dr.,Paul,White,1972-06-16,France,Dr. Paul White is a Dart developer and lecturer at the Hebrew University.
1099,Prof.,Susan,Black,1941-03-04,Korea,Prof. Susan Black is a Rust developer and professor at Tel Aviv University.
1100,Dr.,Kevin,Miller,1955-05-20,France,Dr. Kevin Miller is a TypeScript developer and lecturer at the University of Haifa.
1101,Prof.,Steven,White,1968-06-02,Italy,Prof. Steven White is a Perl developer and professor at Bar-Ilan University.
1102,Dr.,Laura,Martin,1971-09-02,India,Dr. Laura Martin is a shell scripting expert and lecturer at the Technion.
1103,Prof.,Robert,Taylor,1988-10-07,Canada,Prof. Robert Taylor is an SQL expert and professor at Tel Aviv University.
1104,Dr.,Jessica,Brown,1975-06-04,USA,Dr. Jessica Brown is a web development expert and lecturer at the University of Haifa.
1105,Prof.,Christopher,Lewis,1994-02-16,India,Prof. Christopher Lewis is an SQL expert and professor at Bar-Ilan University.
1106,Dr.,Megan,Green,1983-11-24,China,Dr. Megan Green is a Python developer and lecturer at the Technion.
1107,Prof.,Nathan,White,2002-05-30,Russia,Prof. Nathan White is a JavaScript expert and professor at Tel Aviv University.
1108,Dr.,Olivia,Scott,1948-10-04,Russia,Dr. Olivia Scott is a Java developer and lecturer at the Hebrew University.
1109,Prof.,Mark,Brown,2000-09-27,India,Prof. Mark Brown is a C++ developer and professor at the University of Haifa.
1110,Dr.,Sarah,Lewis,1973-08-17,Germany,Dr. Sarah Lewis is a Python developer and lecturer at Bar-Ilan University.
1111,Prof.,Richard,Clark,1971-07-30,Israel,Prof. Richard Clark is a JavaScript expert and professor at the Technion.
1112,Dr.,Michelle,Harris,1977-06-08,Japan,Dr. Michelle Harris is a Java developer and lecturer at Tel Aviv University.
1113,Prof.,Jennifer,King,1956-08-19,Russia,Prof. Jennifer King is a Swift developer and professor at the Hebrew University.
1114,Dr.,Karen,White,1990-06-14,Israel,Dr. Karen White is a Ruby developer and lecturer at the University of Haifa.
1115,Prof.,George,Brown,1990-08-09,USA,Prof. George Brown is a PHP developer and professor at Bar-Ilan University.
1116,Dr.,Brian,Johnson,1959-05-06,China,Dr. Brian Johnson is a Kotlin developer and lecturer at the Technion.
1117,Prof.,Amanda,Miller,1945-09-23,China,Prof. Amanda Miller is a C# developer and professor at Tel Aviv University.
1118,Dr.,Charles,Harris,1997-09-06,UK,Dr. Charles Harris is a Go developer and lecturer at the University of Haifa.
1119,Prof.,Matthew,Lewis,2008-03-07,Spain,Prof. Matthew Lewis is an R developer and professor at Bar-Ilan University.
1120,Dr.,Jessica,Wright,1953-01-14,Spain,Dr. Jessica Wright is a Scala developer and lecturer at the Technion.
1121,Prof.,Benjamin,Robinson,1952-02-22,Italy,Prof. Benjamin Robinson is a Dart developer and professor at Tel Aviv University.
1122,Dr.,Patricia,Thompson,1966-08-05,Spain,Dr. Patricia Thompson is a Rust developer and lecturer at the University of Haifa.
1123,Prof.,Daniel,Adams,1968-01-09,France,Prof. Daniel Adams is a TypeScript developer and professor at Bar-Ilan University.
1124,Dr.,Sarah,Roberts,1949-12-26,Korea,Dr. Sarah Roberts is a Perl developer and lecturer at the Technion.
1125,Prof.,Christopher,Green,2007-08-26,USA,Prof. Christopher Green is a shell scripting expert and professor at Tel Aviv University.
1126,Dr.,Emma,Lee,1957-06-08,Germany,Dr. Emma Lee is an SQL expert and lecturer at the University of Haifa.
1127,Prof.,Edward,White,1962-01-26,Germany,Prof. Edward White is a web development expert and professor at Bar-Ilan University.
1128,Dr.,Andrew,King,1998-05-02,Spain,Dr. Andrew King is a Python developer and lecturer at the Technion.
1129,Prof.,David,Thompson,1972-02-08,UK,Prof. David Thompson is a JavaScript expert and professor at Tel Aviv University.
1130,Dr.,Olivia,Martinez,1964-06-25,Spain,Dr. Olivia Martinez is a Java developer and lecturer at the Hebrew University.
1131,Prof.,Brian,Wright,1961-08-09,China,Prof. Brian Wright is a C++ developer and professor at the University of Haifa.
1132,Dr.,Jennifer,Harris,1992-10-29,China,Dr. Jennifer Harris is a Python developer and lecturer at Bar-Ilan University.
1133,Prof.,Elizabeth,Adams,2000-07-19,Germany,Prof. Elizabeth Adams is a JavaScript expert and professor at the Technion.
1134,Dr.,Kevin,Walker,1963-02-06,China,Dr. Kevin Walker is a Java developer and lecturer at Tel Aviv University.
1135,Prof.,Lauren,Robinson,1997-10-24,China,Prof. Lauren Robinson is a Swift developer and professor at the Hebrew University.
1136,Dr.,John,Lewis,1947-07-29,Canada,Dr. John Lewis is a Ruby developer and lecturer at the University of Haifa.
1137,Prof.,Emily,King,1965-12-26,USA,Prof. Emily King is a PHP developer and professor at Bar-Ilan University.
1138,Dr.,Thomas,Brown,1963-11-21,Germany,Dr. Thomas Brown is a Kotlin developer and lecturer at the Technion.
1139,Prof.,Ashley,Harris,1967-09-22,Italy,Prof. Ashley Harris is a C# developer and professor at Tel Aviv University.
1140,Dr.,Susan,Thompson,1950-12-31,India,Dr. Susan Thompson is a Go developer and lecturer at the University of Haifa.
1141,Prof.,Amanda,Walker,1956-07-28,Russia,Prof. Amanda Walker is an R developer and professor at Bar-Ilan University.
1142,Dr.,Richard,Lee,1975-11-14,India,Dr. Richard Lee is a Scala developer and lecturer at the Technion.
1143,Prof.,Megan,Adams,2001-02-14,France,Prof. Megan Adams is a Dart developer and professor at Tel Aviv University.
1144,Dr.,Brian,Harris,1991-02-11,India,Dr. Brian Harris is a Rust developer and lecturer at the University of Haifa.
1145,Prof.,Lisa,Johnson,1989-08-29,UK,Prof. Lisa Johnson is a TypeScript developer and professor at Bar-Ilan University.
1146,Dr.,Steven,White,1946-07-08,UK,Dr. Steven White is a Perl developer and lecturer at the Technion.
1147,Prof.,James,Clark,1967-11-27,Israel,Prof. James Clark is a shell scripting expert and professor at Tel Aviv University.
1148,Dr.,Megan,Davis,1971-01-01,Canada,Dr. Megan Davis is an SQL expert and lecturer at the University of Haifa.
1149,Prof.,Rachel,Lewis,1971-03-18,Korea,Prof. Rachel Lewis is a web development expert and professor at Bar-Ilan University.
1150,Dr.,Anna,Harris,1979-06-10,Spain,Dr. Anna Harris is a Python developer and lecturer at Tel Aviv University.
1151,Prof.,Michael,White,1970-08-16,UK,Prof. Michael White is a Java developer and professor at the University of Haifa.
1152,Dr.,Emily,Johnson,1946-03-17,China,Dr. Emily Johnson is a C++ developer and lecturer at the Hebrew University.
1153,Prof.,Sarah,Green,1980-08-26,France,Prof. Sarah Green is a JavaScript expert and professor at Bar-Ilan University.
1154,Dr.,James,Brown,1946-12-08,Spain,Dr. James Brown is a Swift developer and lecturer at the Technion.
1155,Prof.,Laura,Clark,1988-01-31,Spain,Prof. Laura Clark is a Ruby developer and professor at Tel Aviv University.
1156,Dr.,Matthew,Scott,1995-06-13,Israel,Dr. Matthew Scott is a PHP developer and lecturer at the University of Haifa.
1157,Prof.,Rachel,Lee,2006-01-01,Russia,Prof. Rachel Lee is a Kotlin developer and professor at Bar-Ilan University.
1158,Dr.,David,King,1985-01-11,Germany,Dr. David King is a C# developer and lecturer at the Technion.
1159,Prof.,Jessica,Miller,1972-05-02,Israel,Prof. Jessica Miller is a Go developer and professor at Tel Aviv University.
1160,Dr.,Thomas,Lewis,1979-02-01,France,Dr. Thomas Lewis is an R developer and lecturer at the University of Haifa.
1161,Prof.,Nancy,Adams,2004-10-14,UK,Prof. Nancy Adams is a Scala developer and professor at Bar-Ilan University.
1162,Dr.,Brian,Taylor,1977-05-18,France,Dr. Brian Taylor is a Dart developer and lecturer at the Technion.
1163,Prof.,Jennifer,Walker,1969-10-10,Japan,Prof. Jennifer Walker is a Rust developer and professor at Tel Aviv University.
1164,Dr.,Charles,White,1983-10-18,France,Dr. Charles White is a TypeScript developer and lecturer at the University of Haifa.
1165,Prof.,Olivia,Scott,1954-11-08,USA,Prof. Olivia Scott is a Perl developer and professor at Bar-Ilan University.
1166,Dr.,Richard,Harris,1977-08-05,Germany,Dr. Richard Harris is a shell scripting expert and lecturer at the Technion.
1167,Prof.,Jessica,Lewis,1963-02-24,Korea,Prof. Jessica Lewis is an SQL expert and professor at Tel Aviv University.
1168,Dr.,Daniel,Thompson,1979-02-05,Russia,Dr. Daniel Thompson is a web development expert and lecturer at the University of Haifa.
1169,Prof.,Laura,Martinez,1949-11-02,Russia,Prof. Laura Martinez is a Python developer and professor at Bar-Ilan University.
1170,Dr.,Brian,Green,1954-11-30,Germany,Dr. Brian Green is a JavaScript expert and lecturer at the Technion.
1171,Prof.,Megan,Walker,1992-06-18,Korea,Prof. Megan Walker is a Java developer and professor at Tel Aviv University.
1172,Dr.,Jennifer,Brown,2002-12-30,France,Dr. Jennifer Brown is a C++ developer and lecturer at the Hebrew University.
1173,Prof.,Christopher,Davis,1953-11-02,Russia,Prof. Christopher Davis is a Python developer and professor at the University of Haifa.
1174,Dr.,Patricia,Wilson,1964-01-19,Germany,Dr. Patricia Wilson is a JavaScript expert and lecturer at Bar-Ilan University.
1175,Prof.,Daniel,Robinson,1990-12-06,France,Prof. Daniel Robinson is a Java developer and professor at the Technion.
1176,Dr.,Megan,Clark,1993-12-02,Japan,Dr. Megan Clark is a Swift developer and lecturer at Tel Aviv University.
1177,Prof.,Jessica,Thompson,1969-01-11,USA,Prof. Jessica Thompson is a Ruby developer and professor at the Hebrew University.
1178,Dr.,Kevin,Scott,1971-11-28,India,Dr. Kevin Scott is a PHP developer and lecturer at the University of Haifa.
1179,Prof.,Brian,Lee,1991-02-01,USA,Prof. Brian Lee is a Kotlin developer and professor at Bar-Ilan University.
1180,Dr.,Sarah,Brown,1950-10-23,UK,Dr. Sarah Brown is a C# developer and lecturer at the Technion.
1181,Prof.,Thomas,Miller,2009-12-04,Canada,Prof. Thomas Miller is a Go developer and professor at Tel Aviv University.
1182,Dr.,Patricia,White,1990-12-22,Japan,Dr. Patricia White is an R developer and lecturer at the University of Haifa.
1183,Prof.,Matthew,Johnson,1971-07-13,France,Prof. Matthew Johnson is a Scala developer and professor at Bar-Ilan University.
1184,Dr.,Megan,Green,1968-11-28,Spain,Dr. Megan Green is a Dart developer and lecturer at the Technion.
1185,Prof.,Charles,Harris,1960-01-14,UK,Prof. Charles Harris is a Rust developer and professor at Tel Aviv University.
1186,Dr.,Emily,Lee,2009-08-20,Germany,Dr. Emily Lee is a TypeScript developer and lecturer at the University of Haifa.
1187,Prof.,John,Taylor,1954-11-24,USA,Prof. John Taylor is a Perl developer and professor at Bar-Ilan University.
1188,Dr.,Rachel,Brown,1991-04-24,France,Dr. Rachel Brown is a shell scripting expert and lecturer at the Technion.
1189,Prof.,Robert,Miller,1993-05-22,UK,Prof. Robert Miller is an SQL expert and professor at Tel Aviv University.
1190,Dr.,Laura,Wilson,1957-09-25,Japan,Dr. Laura Wilson is a web development expert and lecturer at the University of Haifa.
1191,Prof.,Amanda,Harris,1977-01-25,France,Prof. Amanda Harris is a Python developer and professor at Bar-Ilan University.
1192,Dr.,Charles,Lewis,1972-05-28,Korea,Dr. Charles Lewis is a JavaScript expert and lecturer at the Technion.
1193,Prof.,Susan,Martinez,1962-03-25,Spain,Prof. Susan Martinez is a Java developer and professor at Tel Aviv University.
1194,Dr.,Brian,Harris,1992-06-27,Korea,Dr. Brian Harris is a C++ developer and lecturer at the Hebrew University.
1195,Prof.,Jennifer,Thompson,1978-03-20,Japan,Prof. Jennifer Thompson is a Python developer and professor at the University of Haifa.
1196,Dr.,Sarah,Adams,1991-03-12,India,Dr. Sarah Adams is a JavaScript expert and lecturer at Bar-Ilan University.
1197,Prof.,Daniel,Wilson,1981-09-04,Korea,Prof. Daniel Wilson is a Java developer and professor at the Technion.
1198,Dr.,Laura,Martinez,2010-07-06,USA,Dr. Laura Martinez is a Swift developer and lecturer at Tel Aviv University.
1199,Prof.,Brian,Clark,1942-09-22,Spain,Prof. Brian Clark is a Ruby developer and professor at the Hebrew University.
1200,Dr.,Megan,Scott,1997-10-17,UK,Dr. Megan Scott is a PHP developer and lecturer at the University of Haifa.
1201,Prof.,James,White,1993-04-27,Korea,Prof. James White is a Kotlin developer and professor at Bar-Ilan University.
1202,Dr.,Jennifer,Harris,2006-10-19,Korea,Dr. Jennifer Harris is a C# developer and lecturer at the Technion.
1203,Prof.,William,Johnson,1962-04-18,Germany,Prof. William Johnson is a Go developer and professor at Tel Aviv University.
1204,Dr.,Sarah,Lewis,1989-09-14,Israel,Dr. Sarah Lewis is an R developer and lecturer at the University of Haifa.
1205,Prof.,David,Adams,1960-09-13,Italy,Prof. David Adams is a Scala developer and professor at Bar-Ilan University.
1206,Dr.,Robert,Lee,1972-01-07,Korea,Dr. Robert Lee is a Dart developer and lecturer at the Technion.
1207,Prof.,Megan,Harris,1979-06-09,UK,Prof. Megan Harris is a Rust developer and professor at Tel Aviv University.
1208,Dr.,Charles,Clark,1979-02-08,India,Dr. Charles Clark is a TypeScript developer and lecturer at the University of Haifa.
1209,Prof.,Emily,Taylor,1940-12-05,USA,Prof. Emily Taylor is a Perl developer and professor at Bar-Ilan University.
1210,Dr.,Michael,White,1949-09-25,France,Dr. Michael White is a shell scripting expert and lecturer at the Technion.
1211,Prof.,Laura,Harris,1965-04-20,UK,Prof. Laura Harris is an SQL expert and professor at Tel Aviv University.
1212,Dr.,Steven,Brown,1945-08-16,Canada,Dr. Steven Brown is a web development expert and lecturer at the University of Haifa.
1213,Prof.,Richard,Wilson,1990-09-10,China,Prof. Richard Wilson is a Python developer and professor at Bar-Ilan University.
1214,Dr.,Ashley,Thompson,1954-11-10,Spain,Dr. Ashley Thompson is a JavaScript expert and lecturer at the Technion.
1215,Prof.,William,Clark,1977-06-05,Russia,Prof. William Clark is a Java developer and professor at Tel Aviv University.
1216,Dr.,Olivia,Harris,1979-06-06,Spain,Dr. Olivia Harris is a Swift developer and lecturer at the Hebrew University.
1217,Prof.,Daniel,Thompson,1964-09-18,Israel,Prof. Daniel Thompson is a Ruby developer and professor at the University of Haifa.
1218,Dr.,Laura,Lee,1947-02-28,Israel,Dr. Laura Lee is a PHP developer and lecturer at Bar-Ilan University.
1219,Prof.,Brian,Harris,1990-01-04,UK,Prof. Brian Harris is a Kotlin developer and professor at the Technion.
1220,Dr.,Olivia,Brown,1956-04-29,Israel,Dr. Olivia Brown is a C# developer and lecturer at Tel Aviv University.
1221,Prof.,Matthew,Green,1941-07-01,Korea,Prof. Matthew Green is a Go developer and professor at the University of Haifa.
1222,Dr.,Brian,Thompson,1995-05-26,India,Dr. Brian Thompson is an R developer and lecturer at Bar-Ilan University.
1223,Prof.,Emily,Adams,1984-10-31,USA,Prof. Emily Adams is a Scala developer and professor at the Technion.
1224,Dr.,Jennifer,Clark,1997-12-30,Italy,Dr. Jennifer Clark is a Dart developer and lecturer at Tel Aviv University.
1225,Prof.,Charles,White,1972-07-16,Japan,Prof. Charles White is a Rust developer and professor at the University of Haifa.
1226,Dr.,Megan,Brown,1944-04-23,Italy,Dr. Megan Brown is a TypeScript developer and lecturer at Bar-Ilan University.
1227,Prof.,William,Taylor,1970-10-01,China,Prof. William Taylor is a Perl developer and professor at the Technion.
1228,Dr.,Sarah,Johnson,1969-06-07,Russia,Dr. Sarah Johnson is a shell scripting expert and lecturer at Tel Aviv University.
1229,Prof.,Matthew,Harris,1957-03-14,India,Prof. Matthew Harris is an SQL expert and professor at the University of Haifa.
1230,Dr.,Olivia,White,1986-04-19,Korea,Dr. Olivia White is a web development expert and lecturer at Bar-Ilan University.
1231,Dr.,Emily,Davis,1941-11-07,Russia,Dr. Emily Davis is a JavaScript expert and lecturer at Tel Aviv University.
1232,Prof.,Michael,Johnson,1979-02-21,UK,Prof. Michael Johnson is a Python developer and professor at Bar-Ilan University.
1233,Dr.,Laura,Wilson,1951-12-08,Russia,Dr. Laura Wilson is a Java developer and lecturer at the Hebrew University.
1234,Prof.,William,Brown,1953-07-31,UK,Prof. William Brown is a C++ developer and professor at the University of Haifa.
1235,Dr.,Patricia,Harris,1947-10-29,UK,Dr. Patricia Harris is a Ruby developer and lecturer at Tel Aviv University.
1236,Prof.,Matthew,Scott,1971-03-19,France,Prof. Matthew Scott is a PHP developer and professor at Bar-Ilan University.
1237,Dr.,Megan,Johnson,1991-08-31,Russia,Dr. Megan Johnson is a Kotlin developer and lecturer at the Technion.
1238,Prof.,Sarah,Lee,2006-08-28,France,Prof. Sarah Lee is a C# developer and professor at Tel Aviv University.
1239,Dr.,James,White,1946-01-07,France,Dr. James White is a Go developer and lecturer at the University of Haifa.
1240,Prof.,Jessica,Thompson,2008-05-20,Germany,Prof. Jessica Thompson is an R developer and professor at Bar-Ilan University.
1241,Dr.,Robert,Martinez,2007-01-27,Germany,Dr. Robert Martinez is a Scala developer and lecturer at the Technion.
1242,Prof.,David,Adams,2008-08-10,Japan,Prof. David Adams is a Dart developer and professor at Tel Aviv University.
1243,Dr.,Megan,Lewis,1982-12-10,Germany,Dr. Megan Lewis is a Rust developer and lecturer at the Hebrew University.
1244,Prof.,Laura,White,1957-09-28,USA,Prof. Laura White is a TypeScript developer and professor at the University of Haifa.
